source,target,weight,count,tags
wilkinsona,ah1508,3.0,1,issue_closed:1
wilkinsona,Ignifazius,3.0,1,issue_closed:1
snicoll,anbusampath,3.0,1,issue_closed:1
bclozel,Liangdi,3.0,1,issue_closed:1
snicoll,Edge-Seven,3.0,1,issue_closed:1
mhalbritter,snicoll,6.0,2,issue_closed:2
bclozel,adrianhanda,3.0,1,issue_closed:1
snicoll,sambrodeur,3.0,1,issue_closed:1
snicoll,BenchmarkingBuffalo,3.0,1,issue_closed:1
snicoll,michaldo,3.0,1,issue_closed:1
wilkinsona,jan-olaveide,3.0,1,issue_closed:1
philwebb,leetjourney,3.0,1,issue_closed:1
snicoll,TerryTaoYY,3.0,1,issue_closed:1
philwebb,nosan,3.0,1,issue_closed:1
philwebb,vpavic,3.0,1,issue_closed:1
snicoll,krezovic,3.0,1,issue_closed:1
wilkinsona,Eng-Fouad,6.0,2,issue_closed:2
wilkinsona,snicoll,3.0,1,issue_closed:1
philwebb,ThomasVitale,3.0,1,issue_closed:1
snicoll,RatStar811,6.0,2,issue_closed:2
snicoll,pnoe,3.0,1,issue_closed:1
snicoll,nick-botticelli,3.0,1,issue_closed:1
bclozel,danthe1st,3.0,1,issue_closed:1
wilkinsona,goafabric,3.0,1,issue_closed:1
snicoll,Parimal11,3.0,1,issue_closed:1
philwebb,michaldo,3.0,1,issue_closed:1
philwebb,snicoll,3.0,1,issue_closed:1
wilkinsona,ChildrenGreens,3.0,1,issue_closed:1
snicoll,vpavic,15.0,5,issue_closed:5
snicoll,nico-arianto,3.0,1,issue_closed:1
wilkinsona,vpavic,3.0,1,issue_closed:1
philwebb,yuansisong,3.0,1,issue_closed:1
wilkinsona,tommyk-gears,3.0,1,issue_closed:1
wilkinsona,xiaobin8811,3.0,1,issue_closed:1
snicoll,mingchiuli,3.0,1,issue_closed:1
wilkinsona,dependabot[bot],3.0,1,issue_closed:1
wilkinsona,gschlueter-jaconi,3.0,1,issue_closed:1
wilkinsona,jonenst,3.0,1,issue_closed:1
philwebb,wilkinsona,3.0,1,issue_closed:1
snicoll,ngocnhan-tran1996,3.0,1,issue_closed:1
