source,target,weight,count,tags
xchopin,izeye,4.0,1,pr_review:1
garyrussell,sparty02,8.0,2,pr_review:2
mbhave,nosan,4.0,1,pr_review:1
snicoll,scottfrederick,4.0,1,pr_review:1
snicoll,nosan,68.0,17,pr_review:16;pr_approved:1
edwardsre,krzyk,4.0,1,pr_approved:1
wilkinsona,jcordoba95,4.0,1,pr_changes_requested:1
fbus,ramesh-nair-dev,4.0,1,pr_review:1
philwebb,davidkarlsen,4.0,1,pr_review:1
chicobento,jonatan-ivanov,8.0,2,pr_review:2
wilkinsona,mches,4.0,1,pr_review:1
nosan,dmytrodanilenkov,4.0,1,pr_review:1
cuspymd,weixsun,8.0,2,pr_review:2
ppapou,dangzhicairang,4.0,1,pr_review:1
wilkinsona,eiselems,8.0,2,pr_review:2
mbhave,alimate,8.0,2,pr_review:2
wilkinsona,evgeniycheban,16.0,4,pr_review:4
wilkinsona,RobertRad,8.0,2,pr_review:2
snicoll,marcus-nl,4.0,1,pr_review:1
snicoll,fschmager,4.0,1,pr_review:1
wilkinsona,bikash30851,28.0,7,pr_review:6;pr_changes_requested:1
wilkinsona,fernandezseb,4.0,1,pr_changes_requested:1
garyrussell,eddumelendez,4.0,1,pr_review:1
philwebb,johnnywiller,4.0,1,pr_review:1
wilkinsona,weixsun,8.0,2,pr_review:2
wilkinsona,terminux,16.0,4,pr_review:4
snicoll,sdeleuze,8.0,2,pr_review:1;pr_changes_requested:1
blindpirate,Scott-YuYan,8.0,2,pr_review:2
mhalbritter,nosan,24.0,6,pr_review:6
philwebb,TYsewyn,16.0,4,pr_review:3;pr_changes_requested:1
mhalbritter,nielsbasjes,4.0,1,pr_review:1
snicoll,kedar-joshi,8.0,2,pr_review:1;pr_changes_requested:1
jnizet,p7nov,8.0,2,pr_review:2
Citymonstret,wanger26,4.0,1,pr_review:1
snicoll,shakuzen,4.0,1,pr_review:1
snicoll,fabio-grassi-gbs,4.0,1,pr_review:1
wilkinsona,lndobryden,4.0,1,pr_review:1
snicoll,ayudovin,52.0,13,pr_review:9;pr_approved:2;pr_changes_requested:2
sepe81,holy12345,8.0,2,pr_approved:1;pr_changes_requested:1
at758,bikash30851,4.0,1,pr_review:1
jkschneider,nosan,24.0,6,pr_review:6
snicoll,onobc,88.0,22,pr_review:22
wilkinsona,bclozel,4.0,1,pr_review:1
ptahchiev,joshiste,4.0,1,pr_changes_requested:1
snicoll,adutra,20.0,5,pr_review:5
wilkinsona,puppylpg,4.0,1,pr_review:1
mhalbritter,onobc,4.0,1,pr_review:1
wilkinsona,arefbehboudi,20.0,5,pr_review:5
snicoll,AndrewDi,40.0,10,pr_review:10
nosan,izeye,4.0,1,pr_review:1
wilkinsona,tomekrojek,4.0,1,pr_review:1
wilkinsona,jxblum,8.0,2,pr_review:1;pr_changes_requested:1
wilkinsona,marcwrobel,4.0,1,pr_review:1
dnault,enesacikoglu,12.0,3,pr_review:3
wilkinsona,holy12345,4.0,1,pr_changes_requested:1
wilkinsona,jkschneider,36.0,9,pr_review:9
shakuzen,garyrussell,4.0,1,pr_changes_requested:1
vpavic,nosan,8.0,2,pr_review:2
