source,target,weight,count,tags
dsyer,bijukunjummen,4.000,1,pr_comment:1
sbrannen,unknown,3.000,1,issue_comment:1
dsyer,AndreasKl,4.000,1,pr_comment:1
gregturn,unknown,33.000,1,issue_comment:1
YudhistiraArya,unknown,6.000,1,issue_comment:1
adrianpillinger,unknown,3.000,1,issue_comment:1
wilkinsona,jerrinot,2.000,1,pr_review_comment:1
glaforge,unknown,3.000,1,issue_comment:1
jonson,unknown,3.000,1,issue_comment:1
dsyer,ggerard,2.000,1,pr_comment:1
jbrisbin,unknown,6.000,1,issue_comment:1
odrotbohm,thomasdarimont,4.000,1,pr_comment:1
dsyer,yanhua365,4.000,1,pr_comment:1
popcornylu,unknown,3.000,1,issue_comment:1
wilkinsona,gregturn,2.000,1,pr_comment:1
syparth,unknown,3.000,1,issue_comment:1
admir200,unknown,9.000,1,issue_comment:1
oliver-schoenherr,unknown,3.000,1,issue_comment:1
fhanik,unknown,12.000,1,issue_comment:1
dsyer,juvpoblotzki,6.000,1,pr_comment:1
philwebb,glazing-saddles,4.000,1,pr_comment:1
zyro23,unknown,9.000,1,issue_comment:1
snicoll,unknown,8.000,1,pr_review_comment:1
checketts,unknown,9.000,1,issue_comment:1
bijukunjummen,unknown,9.000,1,issue_comment:1
daschl,unknown,3.000,1,issue_comment:1
sebge2,unknown,3.000,1,issue_comment:1
odrotbohm,unknown,9.000,1,issue_comment:1
jbayer,unknown,3.000,1,issue_comment:1
dsyer,cppwfs,4.000,1,pr_comment:1
leifhanack,unknown,6.000,1,issue_comment:1
igo,unknown,6.000,1,issue_comment:1
cdupuis,gregturn,2.000,1,pr_comment:1
philwebb,odrotbohm,2.000,1,pr_comment:1
berinle,unknown,18.000,1,issue_comment:1
timsporcic,unknown,3.000,1,issue_comment:1
gerjantd,unknown,18.000,1,issue_comment:1
mikaelhg,unknown,12.000,1,issue_comment:1
msgilligan,unknown,24.000,1,issue_comment:1
aclement,gregturn,2.000,1,pr_comment:1
camechis,unknown,3.000,1,issue_comment:1
masrawi,unknown,3.000,1,issue_comment:1
philwebb,gregturn,8.000,1,pr_comment:1
philwebb,nitram509,4.000,1,pr_comment:1
dodgex,unknown,3.000,1,issue_comment:1
dsyer,isopov,4.000,1,pr_comment:1
sshcherbakov,unknown,9.000,1,issue_comment:1
jeado,unknown,3.000,1,issue_comment:1
tomazfernandes,unknown,2.000,1,pr_review_comment:1
dsyer,rwinch,6.000,1,pr_comment:1
ukitzmann,unknown,3.000,1,issue_comment:1
dsyer,unknown,399.000,1,issue_comment:1
SpringyTux,unknown,3.000,1,issue_comment:1
dsyer,lecaros,2.000,1,pr_comment:1
cdupuis,nitram509,2.000,1,pr_comment:1
verrol,unknown,3.000,1,issue_comment:1
eddumelendez,neiser,2.000,1,pr_review_comment:1
mhalbritter,unknown,2.000,1,pr_review_comment:1
dsyer,cdupuis,2.000,1,pr_comment:1
dsyer,royclarkson,6.000,1,pr_comment:1
dsyer,odrotbohm,4.000,1,pr_comment:1
zhuzhengwen1983,unknown,12.000,1,issue_comment:1
dsyer,mdeinum,2.000,1,pr_comment:1
xylifyx2,unknown,3.000,1,issue_comment:1
jhoeller,unknown,6.000,1,issue_comment:1
philwebb,thomasdarimont,6.000,1,pr_comment:1
nebhale,unknown,15.000,1,issue_comment:1
philwebb,dbuchko,4.000,1,pr_comment:1
kaczynskid,unknown,3.000,1,issue_comment:1
tkruse,unknown,9.000,1,issue_comment:1
dsyer,glazing-saddles,2.000,1,pr_comment:1
PerGon,unknown,6.000,1,issue_comment:1
wilkinsona,ghost,2.000,1,pr_review_comment:1
cdupuis,unknown,15.000,1,issue_comment:1
odrotbohm,mdeinum,2.000,1,pr_comment:1
AbhayParab,unknown,6.000,1,issue_comment:1
nosan,unknown,2.000,1,pr_review_comment:1
marc0der,unknown,3.000,1,issue_comment:1
philwebb,bijukunjummen,4.000,1,pr_comment:1
thebignet,unknown,15.000,1,issue_comment:1
philwebb,unknown,102.000,1,issue_comment:1
philwebb,chanwit,2.000,1,pr_comment:1
mminella,unknown,6.000,1,issue_comment:1
ewolff,unknown,9.000,1,issue_comment:1
nhniches,unknown,3.000,1,issue_comment:1
mfkenson,unknown,6.000,1,issue_comment:1
yanhua365,unknown,9.000,1,issue_comment:1
dsyer,sshcherbakov,8.000,1,pr_comment:1
dsyer,ewolff,2.000,1,pr_comment:1
hadolen,unknown,3.000,1,issue_comment:1
dsyer,gregturn,8.000,1,pr_comment:1
mikaelhg,mdeinum,6.000,1,pr_comment:1
wilkinsona,unknown,26.000,1,issue_comment+pr_review_comment:1
dsyer,nitram509,2.000,1,pr_comment:1
royclarkson,unknown,2.000,1,pr_review_comment:1
jarias,unknown,6.000,1,issue_comment:1
abhinavlele,unknown,9.000,1,issue_comment:1
